error,cn,ar,es,en,jp,de,fr,ru,in
cn,0.97,0.0,0.0,0.02,0.05,0.03,0.05,0.0,0.06
ar,0.0,0.96,0.0,0.0,0.0,0.0,0.01,0.0,0.0
es,0.0,0.01,0.53,0.02,0.01,0.04,0.04,0.01,0.06
en,0.01,0.0,0.07,0.68,0.03,0.18,0.14,0.0,0.26
jp,0.03,0.01,0.08,0.03,0.87,0.03,0.08,0.01,0.14
de,0.0,0.0,0.03,0.13,0.0,0.5,0.08,0.0,0.08
fr,0.0,0.0,0.17,0.08,0.02,0.17,0.53,0.01,0.19
ru,0.0,0.01,0.09,0.04,0.01,0.05,0.03,0.96,0.05
in,0.0,0.02,0.02,0.0,0.01,0.01,0.04,0.01,0.15
